"datetime","positive_set","negative_set","representation","classifier","extra","score","matrix","precision","recall","f_measure","Runtime(seconds)","Algorithm_time(seconds)","Comments"
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","count","naive","{}","","","","","","","","Algorithm Timeout"
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","count","naive","{}","0.67032967033","[[ 15 133]
 [ 17 290]]","0.101351351351","0.46875","0.166666666667","0.04762673377990723","0.03479957580566406",""
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","naive","{}","","","","","","","","Algorithm Timeout"
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","tfidf","naive","{}","0.661538461538","[[  0 154]
 [  0 301]]","0","0","0","0.046441078186035156","0.03556227684020996",""
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","hash","naive","{}","","","","","","","","Algorithm Timeout"
"Mon Jul 24 15:05:21 2017","test_extractions/bc_samples.txt","test_extractions/bc_grounds.txt","hash","naive","{}","0.648351648352","[[  0 160]
 [  0 295]]","0","0","0","0.2857096195220947","0.2747800350189209",""
